mode,barangay,n,actual_total,predicted_total,actual_mean,predicted_mean,mae,rmse,r2
standard,BONBON,936,147,86.560790563,0.15705128205128205,0.09247947709722222,0.20537079012286324,0.3592757388079419,0.024980858574851217
standard,BUDLA-AN (POB.),936,124,115.300691579,0.13247863247863248,0.12318449955021367,0.2254034462318376,0.37405347918946313,-0.07722733209563315
standard,BUHISAN,936,310,754.632695658,0.3311965811965812,0.8062315124551283,0.71024286791453,0.8173281312801822,-1.0213802640458183
standard,BULACAO,936,471,1102.720527055,0.5032051282051282,1.1781202212126067,0.9376059638707265,1.0835843885127672,-0.9982334776039934
standard,BUOT-TAUP PARDO,936,52,4.86407041,0.05555555555555555,0.005196656420940171,0.060075067395299143,0.23443616276380758,-0.047478933488211084
standard,BUSAY (POB.),936,233,484.946939052,0.24893162393162394,0.5181057041153846,0.5589613295448718,0.656422533489684,-0.3223441328379282
standard,CALAMBA,936,512,585.228541028,0.5470085470085471,0.6252441677649573,0.6371817675384616,0.7588214464731763,-0.09559565232258138
standard,CAMBINOCOT,936,30,59.965949178,0.03205128205128205,0.06406618501923077,0.0930456538440171,0.2259065017389737,-0.06059545673780553
standard,CAMPUTHAW (POB.),936,1218,1503.148566107,1.3012820512820513,1.6059279552425214,1.1488540758514958,1.4349326876289896,-0.17155545401053307
standard,CAPITOL SITE (POB.),936,636,749.711831003,0.6794871794871795,0.8009741784220086,0.706440071701923,0.8652237881761085,-0.10897410442158773
standard,CARRETA,936,453,389.467010302,0.483974358974359,0.41609723322863246,0.5815916785811965,0.7568842117749554,-0.11302354009877114
standard,CENTRAL (POB.),936,44,10.81405369,0.04700854700854701,0.011553476164529914,0.058074669604700854,0.27266407867553955,-0.024376733328573152
standard,COGON PARDO,936,402,769.811177037,0.42948717948717946,0.8224478387147436,0.7178540150950855,0.8542286142450336,-0.28060416831416224
standard,COGON RAMOS (POB.),936,101,479.709080274,0.10790598290598291,0.5125097011474359,0.5276486164871795,0.5913772772027436,-1.819468849801872
standard,DAY-AS,936,329,87.50965991,0.35149572649572647,0.09349322639957265,0.3855662505106838,0.7011383009865507,-0.1295542216248431
standard,DULJO (POB.),936,869,733.527075475,0.9284188034188035,0.7836827729433761,0.8299670377489317,1.091828141896713,-0.08730325562294561
standard,ERMITA (POB.),936,402,329.030938357,0.42948717948717946,0.35152878029594015,0.5487083779690171,0.7646624577638794,-0.010974799154050086
standard,GUADALUPE,936,2015,4061.990387238,2.1527777777777777,4.339733319698718,2.5147916700384614,2.982102888306596,-2.6203725599128025
standard,GUBA,936,150,51.740040709,0.16025641025641027,0.05527782127029914,0.20143289375106838,0.453269669609297,-0.08059515484840829
standard,HIPPODROMO,936,389,569.663602803,0.4155982905982906,0.6086149602596154,0.6427782713002137,0.79986451005889,-0.1665682216501425
