mode,barangay,horizon,n,actual_total,predicted_total,actual_mean,predicted_mean,mae,rmse,r2
environmental_only,BINALIW,12,60,5,0.8881911969653555,0.08333333333333333,0.014803186616089259,0.09464082841368614,0.2834958673948956,-0.052115143956156906
environmental_only,BONBON,0,72,12,7.160801184651318,0.16666666666666666,0.09945557200904609,0.23271728709746836,0.38155276244659114,-0.048194075820498616
environmental_only,BONBON,1,71,12,5.814157972177458,0.16901408450704225,0.08188954890390787,0.2257409099367024,0.38976488607719456,-0.08165524776414057
environmental_only,BONBON,2,70,12,7.257357315271889,0.17142857142857143,0.10367653307531272,0.24370749750096884,0.3900261848420701,-0.07096276124433509
environmental_only,BONBON,3,69,12,6.889795917647813,0.17391304347826086,0.09985211474851903,0.24103729408945848,0.3905500000902456,-0.06168422447091637
environmental_only,BONBON,4,68,11,5.940961704083639,0.16176470588235295,0.08736708388358293,0.22075260419809847,0.37671274371307084,-0.04657633119527427
environmental_only,BONBON,5,67,11,3.6449084695038483,0.16417910447761194,0.05440161894781863,0.20416000241334403,0.3920355749455448,-0.12000471313429473
environmental_only,BONBON,6,66,11,5.37509655840101,0.16666666666666666,0.08144085694546985,0.22310760556088596,0.38615831752724716,-0.07365137260741439
environmental_only,BONBON,7,65,11,3.9482213929811656,0.16923076923076924,0.06074186758432562,0.21222670900162582,0.3954830613162615,-0.11248981280243409
environmental_only,BONBON,8,64,11,3.5234574699794154,0.171875,0.055054022968428366,0.214016363917339,0.4049693426257465,-0.15222073763245825
environmental_only,BONBON,9,63,11,4.4130760356428524,0.1746031746031746,0.07004882596258495,0.226027090114566,0.4048302239859424,-0.13718448984651266
environmental_only,BONBON,10,62,11,3.6274387960842533,0.1774193548387097,0.05850707735619763,0.21935383148087456,0.40724846525433345,-0.1364214707050384
environmental_only,BONBON,11,61,11,5.9829458580729025,0.18032786885245902,0.09808107964053939,0.24558654135196373,0.39931146664025857,-0.07874934170846792
environmental_only,BONBON,12,60,11,3.1043333896318854,0.18333333333333332,0.05173888982719809,0.21853120051407518,0.41399891944691347,-0.14475395007711134
environmental_only,BUDLA-AN (POB.),0,72,11,8.688548106129058,0.1527777777777778,0.12067427925179249,0.23371342903876008,0.3907450294564522,0.02883212394492718
environmental_only,BUDLA-AN (POB.),1,71,11,8.506008250816015,0.15492957746478872,0.11980293311008472,0.2412679700923141,0.4034343848812026,-0.02302948371752489
environmental_only,BUDLA-AN (POB.),2,70,11,9.224767959864964,0.15714285714285714,0.13178239942664235,0.24732283968096908,0.39823414204794283,0.015091107383980451
environmental_only,BUDLA-AN (POB.),3,69,11,8.560568194894659,0.15942028985507245,0.12406620572311099,0.23824676567671693,0.3889297336521619,0.07193423469210225
environmental_only,BUDLA-AN (POB.),4,68,11,8.514726262507248,0.16176470588235295,0.1252165626839301,0.24351467578572833,0.3990528246023964,0.034940554193643614
environmental_only,BUDLA-AN (POB.),5,67,11,5.707230243571578,0.16417910447761194,0.08518254094882953,0.22119613230470792,0.41383492272436045,-0.02504425589642545
environmental_only,BUDLA-AN (POB.),6,66,10,7.540687320862486,0.15151515151515152,0.11425283819488616,0.23378429594494268,0.39752975108046873,0.00523373201980204
environmental_only,BUDLA-AN (POB.),7,65,8,6.095257777932103,0.12307692307692308,0.09377319658357082,0.19664940169028755,0.33612593031486876,-0.04680528147346963
environmental_only,BUDLA-AN (POB.),8,64,8,5.327328612617086,0.125,0.08323950957214196,0.1859861930448741,0.3343874186436956,-0.022308075402917682
environmental_only,BUDLA-AN (POB.),9,63,8,5.609097623364215,0.12698412698412698,0.0890332956089558,0.19130837617554766,0.33694249333029147,-0.024094403837212175
environmental_only,BUDLA-AN (POB.),10,62,8,5.574367434670889,0.12903225806451613,0.08990915217211111,0.1924851951054403,0.3357856188269035,-0.003283838151285856
environmental_only,BUDLA-AN (POB.),11,61,8,6.970024567460594,0.13114754098360656,0.11426269782722284,0.21648669957419256,0.34302017763434367,-0.03260244355058495
environmental_only,BUDLA-AN (POB.),12,60,8,4.301796515890434,0.13333333333333333,0.0716966085981739,0.1854323795570136,0.347913451197979,-0.047494159346535
environmental_only,BUHISAN,0,72,29,41.19324626797177,0.4027777777777778,0.5721284203884969,0.6317773307958917,0.7135082133763962,-0.17035172654550346
environmental_only,BUHISAN,1,71,27,38.950291371086976,0.38028169014084506,0.5485956531139011,0.5942524741319334,0.6581978635876872,-0.07053153906365917
environmental_only,BUHISAN,2,70,27,38.7672101778009,0.38571428571428573,0.5538172882542985,0.5846999466886774,0.6637252676417329,-0.07876213465259396
environmental_only,BUHISAN,3,69,27,38.4090722006919,0.391304347826087,0.5566532202998826,0.5887375415599729,0.6594433415602382,-0.055247066354047636
environmental_only,BUHISAN,4,68,27,36.72472272573965,0.39705882352941174,0.5400694518491126,0.5926929101779412,0.6690647019614352,-0.0764026982315551
environmental_only,BUHISAN,5,67,24,34.23182054106134,0.3582089552238806,0.5109226946427066,0.5435566339879023,0.5798652422261663,-0.05257877646337872
environmental_only,BUHISAN,6,66,23,35.777042803085706,0.3484848484848485,0.5420764061073592,0.5670332017090934,0.6054358387536806,-0.15285410029975144
environmental_only,BUHISAN,7,65,23,31.20171817863606,0.35384615384615387,0.48002643351747787,0.5402439240230016,0.5890836267807312,-0.08123707169344851
