mode,barangay,horizon,n,mae,rmse,r2
environmental_only,COGON PARDO,2,70,0.7060650360598615,0.8726868658368124,0.03547335424140985
environmental_only,COGON PARDO,3,69,0.6591325383784639,0.8077625426644736,0.18251083449879402
environmental_only,COGON PARDO,4,68,0.6852085822770702,0.8300743887502506,0.11498760507430872
environmental_only,COGON PARDO,8,64,0.5547422928689044,0.6427327390084879,0.03640113265514
environmental_only,COGON PARDO,12,60,0.49847788926936276,0.5936945884349192,-0.24524411345718233
environmental_only,COGON RAMOS (POB.),0,72,0.6062267216294701,0.6247108310343094,-1.8454664115071973
environmental_only,COGON RAMOS (POB.),1,71,0.5468940167784915,0.5607111057769816,-1.2641071363114786
environmental_only,COGON RAMOS (POB.),2,70,0.5731625873766731,0.5874814823591377,-1.4545123532118436
environmental_only,COGON RAMOS (POB.),3,69,0.5841223020477134,0.5991686875086314,-1.52096435945188
environmental_only,COGON RAMOS (POB.),4,68,0.5770875472759057,0.5897994080315339,-1.6112339157258835
environmental_only,COGON RAMOS (POB.),8,64,0.47212108342986203,0.4941987208265121,-0.8982463201712205
environmental_only,COGON RAMOS (POB.),12,60,0.4723549397335013,0.5019445837995106,-0.8472792560904072
environmental_only,DAY-AS,0,72,0.42702074741982365,0.742019861931387,-0.19726366484710467
environmental_only,DAY-AS,1,71,0.42843587509827613,0.7513104295227985,-0.21601708092758942
environmental_only,DAY-AS,2,70,0.42558955896936707,0.7390254529386993,-0.17324736450991773
environmental_only,DAY-AS,3,69,0.42453872524324665,0.748466454533923,-0.1917434681820589
environmental_only,DAY-AS,4,68,0.43849394189537966,0.7414716907035594,-0.15817036891244296
environmental_only,DAY-AS,8,64,0.41583507416902854,0.751545866841364,-0.23650860187178901
environmental_only,DAY-AS,12,60,0.3776423571005945,0.7451490125040289,-0.20487605967970235
environmental_only,DULJO (POB.),0,72,0.9166807745385914,1.1848820537384492,-0.24988036663423885
environmental_only,DULJO (POB.),1,71,0.9081338151006847,1.197548459170224,-0.25904050419703695
environmental_only,DULJO (POB.),2,70,0.8929896894073489,1.1742270785146292,-0.20732044967714502
environmental_only,DULJO (POB.),3,69,0.8894119342489594,1.1865326353971513,-0.23168320603462078
environmental_only,DULJO (POB.),4,68,0.8927825320752126,1.1757657690775867,-0.19193247522446977
environmental_only,DULJO (POB.),8,64,0.8943021117260744,1.1906818356719933,-0.3355552818863008
environmental_only,DULJO (POB.),12,60,0.9272094156558868,1.2330004375252177,-0.38208188994307135
environmental_only,ERMITA (POB.),0,72,0.5607701406846144,0.7826152484754743,-0.05556205955005522
environmental_only,ERMITA (POB.),1,71,0.5668224996085962,0.7851373286900246,-0.05266842484198553
environmental_only,ERMITA (POB.),2,70,0.572079585211958,0.8019470231422449,-0.08815028896438903
environmental_only,ERMITA (POB.),3,69,0.5738734439848656,0.802658069785658,-0.0800428698799629
environmental_only,ERMITA (POB.),4,68,0.5675827144114682,0.8003010625732068,-0.06570269897619174
environmental_only,ERMITA (POB.),8,64,0.5646677905479686,0.8395718973532247,-0.12957451349781013
environmental_only,ERMITA (POB.),12,60,0.5718385232754165,0.8756142234232924,-0.17953887424796222
environmental_only,GUADALUPE,0,72,1.7084627270958297,1.9918708210264509,-0.587019747062635
environmental_only,GUADALUPE,1,71,1.5801278856965508,1.8634248241346276,-0.41963721095613016
environmental_only,GUADALUPE,2,70,1.5946465091534896,1.8875428078368996,-0.4561520954159941
environmental_only,GUADALUPE,3,69,1.4255370064114723,1.6854941148955713,-0.14661573825245422
environmental_only,GUADALUPE,4,68,1.4687524933319822,1.7566373072473782,-0.3275606517940448
environmental_only,GUADALUPE,8,64,1.2959671901646037,1.6321242014864177,-0.36456293891722913
environmental_only,GUADALUPE,12,60,1.3156261804240272,1.6086776569507881,-0.3301310243149116
environmental_only,GUBA,0,72,0.21525233821635847,0.46585862991388294,-0.06640168694806148
environmental_only,GUBA,1,71,0.22571416760140142,0.46719896387607845,-0.06004203177276324
environmental_only,GUBA,2,70,0.22798940990205357,0.4751304539105988,-0.08341806693744291
environmental_only,GUBA,3,69,0.21405784106211284,0.46263976120903966,-0.061482549093816674
environmental_only,GUBA,4,68,0.19967458405182012,0.4501673885806147,-0.042332295747108395
