variable,feature,lag,cor_log_incidence,cor_cases,cor_outbreak,cor_large_outbreak,peak_lift,selection_score,selected,group
rainfall,rainfall_lag14,14,0.025232234304549957,0.014349001826736298,0.014723667448310366,0.00386783303161994,0.022086137206422583,0.01683560163421115,FALSE,environment
rainfall,rainfall_lag8,8,0.008466760104358172,0.011151442128575627,0.011888962669763768,0.0068906878367497116,0.03963100327619131,0.010036176713995627,FALSE,environment
rainfall,rainfall_lag11,11,0.011093407515199348,0.006078463009122592,0.006405566172595875,0.002957461292070424,0.016948721017652033,0.007565569580410301,FALSE,environment
rainfall,rainfall_lag10,10,0.008541248423880616,0.00558201544772157,0.008596889589241805,0.0011752009503783656,0.006742942254755318,0.0066133219664734726,FALSE,environment
rainfall,rainfall_lag9,9,0.012509041069883528,2.3796087487157778e-4,0.0015267173850552463,0.0062861164655850805,0.036110868798812944,0.005985355573803815,FALSE,environment
rh,rh_lag20,20,0.11872174076076951,0.12070034431236548,0.10898812161447452,0.08409536094127265,0.47671438056259374,0.11591511265304437,TRUE,environment
rh,rh_lag19,19,0.11211813540083822,0.1148142413413954,0.10308215736698653,0.08091055335006046,0.4592215208036708,0.11004679861450986,TRUE,environment
rh,rh_lag18,18,0.10515143596635333,0.10695186269662434,0.09364321899090436,0.07893799378694207,0.44857255769383136,0.10298721386898324,FALSE,environment
rh,rh_lag17,17,0.09832198812828181,0.0951188303799377,0.08385970049412585,0.06725756072302573,0.38266258350889026,0.09282375085515585,FALSE,environment
rh,rh_lag16,16,0.08622798043628976,0.08431316641020267,0.07636315290111473,0.056474659191256986,0.32170328584831753,0.08175556100591615,FALSE,environment
rh,rh_lag15,15,0.07690765870308769,0.07368865287544946,0.06767934140905381,0.04601641469574586,0.26244625167896485,0.07153589035475029,FALSE,environment
rh,rh_lag14,14,0.0720600412542316,0.0650353332469718,0.05781547709957348,0.0384310592181086,0.21944940219707026,0.06379530579141598,FALSE,environment
rh,rh_lag13,13,0.06022145072905702,0.05976905769092185,0.05285692083583435,0.0380351255757799,0.2174503408956625,0.05700729413545241,FALSE,environment
